datum;verein_kuerzel;dienst_typ;bereich_name;taetigkeit_name;von_zeit;bis_zeit;anzahl_personen;splittbar;admin_only;besonderheiten
2026-07-06;SCJ;dienst;Spülen;Tellerspülen;11:00:00;15:00:00;1;0;0;incl Tellerrücknahmen
2026-07-06;TVW;dienst;Warme Speisen;Zubereitung (Pommes);11:00:00;15:00:00;1;0;0;
2026-07-06;GVE;dienst;Warme Speisen;Ausgabe (Grill & Pommes);11:00:00;15:00:00;1;0;0;Vorber. Essenstand u  Essen Ausg.
2026-07-06;GVE;dienst;Getränke;Zapfen (Bier);11:30:00;15:30:00;1;0;0;
2026-07-06;TVW;dienst;Getränke;Ausgabe (Bier);11:30:00;15:30:00;1;0;0;
2026-07-06;GVE;dienst;Spülen;Tellerspülen;11:30:00;15:30:00;1;0;0;incl Tellerrücknahmen
2026-07-06;TVW;dienst;Warme Speisen;Zubereitung (Grill);11:30:00;15:30:00;1;0;0;
2026-07-06;SCJ;dienst;Warme Speisen;Ausgabe (Grill & Pommes);11:30:00;15:30:00;1;0;0;
2026-07-06;GVE;dienst;Spülen;Spülen (Gläser);12:00:00;16:00:00;1;0;0;
2026-07-06;SCJ;dienst;Warme Speisen;Zubereitung (Pommes);12:00:00;16:00:00;1;0;0;
2026-07-06;GVE;dienst;Kalte Speisen;Ausgabe (Salat & Sonder Speisen);13:30:00;17:30:00;1;0;0;Vorbereitung / Ausgabe /Salat
2026-07-06;TVW;dienst;Kasse;Bonkasse;14:00:00;18:00:00;1;0;0;
2026-07-06;GVE;dienst;Getränke;Getränkeausgabe (Wein & alkoholfrei);14:30:00;18:30:00;1;0;0;
2026-07-06;FFW;dienst;Spülen;Tellerspülen;14:30:00;18:30:00;1;0;0;incl Tellerrücknahmen
2026-07-06;FFW;dienst;Warme Speisen;Zubereitung (Grill);14:30:00;18:30:00;1;0;0;
2026-07-06;FFW;dienst;Getränke;Zapfen (Bier);15:00:00;19:00:00;1;0;0;
2026-07-06;SCJ;dienst;Getränke;Ausgabe (Bier);15:00:00;19:00:00;1;0;0;
2026-07-06;TVW;dienst;Warme Speisen;Ausgabe (Grill & Pommes);15:30:00;19:30:00;1;0;0;
2026-07-06;FFW;dienst;Spülen;Spülen (Gläser);16:00:00;20:00:00;1;0;0;
2026-07-06;VR;dienst;Betreuung;Betreuung Küche;16:00:00;22:30:00;1;0;0;
2026-07-06;FFW;dienst;Warme Speisen;Zubereitung (Pommes);16:00:00;20:00:00;1;0;0;
2026-07-06;GVE;dienst;Warme Speisen;Zubereitung (Grill);17:00:00;21:00:00;1;0;0;
2026-07-06;SCJ;dienst;Warme Speisen;Ausgabe (Grill & Pommes);17:00:00;00:00:00;1;0;0;
2026-07-06;GVE;dienst;Getränke;Zapfen (Bier);17:30:00;21:30:00;1;0;0;
2026-07-06;SCJ;dienst;Getränke;Ausgabe (Bier);17:30:00;21:30:00;1;0;0;
2026-07-06;SCJ;dienst;Kalte Speisen;Ausgabe (Salat & Sonder Speisen);17:30:00;21:30:00;1;0;0;Vorbereitung / Ausgabe /Salat
2026-07-06;VR;dienst;Betreuung;Betreuung Getränkebereich;18:00:00;01:00:00;1;0;0;
2026-07-06;FFW;dienst;Getränke;Zapfen (Bier);18:00:00;22:00:00;1;0;0;
2026-07-06;GVE;dienst;Getränke;Ausgabe (Bier);18:00:00;22:00:00;1;0;0;
2026-07-06;TVW;dienst;Spülen;Tellerspülen;18:00:00;22:00:00;1;0;0;incl Tellerrücknahmen
2026-07-06;TVW;dienst;Spülen;Tellerspülen;18:00:00;22:00:00;1;0;0;incl Tellerrücknahmen
2026-07-06;SCJ;dienst;Kasse;Bonkasse;18:00:00;22:00:00;1;0;0;
2026-07-06;FFW;dienst;Kalte Speisen;Ausgabe (Salat & Sonder Speisen);18:00:00;22:00:00;1;0;0;Vorbereitung / Ausgabe /Salat
2026-07-06;FFW;dienst;Warme Speisen;Zubereitung (Grill);18:00:00;22:00:00;1;0;0;
2026-07-06;GVE;dienst;Warme Speisen;Zubereitung (Pommes);18:00:00;22:00:00;1;0;0;
2026-07-06;TVW;dienst;Warme Speisen;Ausgabe (Grill & Pommes);18:00:00;22:00:00;1;0;0;
2026-07-06;FFW;dienst;Getränke;Getränkeausgabe (Wein & alkoholfrei);18:30:00;22:30:00;1;0;0;
2026-07-06;GVE;dienst;Getränke;Getränkeausgabe (Wein & alkoholfrei);18:30:00;22:30:00;1;0;0;
2026-07-06;GVE;dienst;Spülen;Tellerspülen;18:30:00;22:30:00;1;0;0;incl Tellerrücknahmen
2026-07-06;SCJ;dienst;Getränke;Zapfen (Bier);19:00:00;23:00:00;1;0;0;
2026-07-06;FFW;dienst;Getränke;Ausgabe (Bier);19:00:00;23:00:00;1;0;0;
2026-07-06;TVW;dienst;Spülen;Spülen (Gläser);19:00:00;23:00:00;1;0;0;
2026-07-06;FFW;dienst;Warme Speisen;Springer Küche;19:00:00;22:00:00;1;0;0;
2026-07-06;SCJ;dienst;Spülen;Tellerspülen;19:30:00;01:30:00;1;0;0;incl Tellerrücknahmen, Küche säubern
2026-07-06;GVE;dienst;Spülen;Tellerspülen;19:30:00;01:30:00;1;0;0;incl Tellerrücknahmen, Küche säubern
2026-07-06;SCJ;dienst;Getränke;Zapfen (Bier);20:00:00;00:00:00;1;0;0;
2026-07-06;FFW;dienst;Getränke;Ausgabe (Bier);20:00:00;00:00:00;1;0;0;
2026-07-06;GVE;dienst;Getränke;Getränkeausgabe (Wein & alkoholfrei);20:00:00;00:00:00;1;0;0;
2026-07-06;FFW;dienst;Spülen;Spülen (Gläser);21:00:00;01:00:00;1;0;0;
2026-07-06;GVE;dienst;Nachtwache;Nachtwache;23:00:00;08:59:00;1;0;0;
2026-07-06;FFW;dienst;Nachtwache;Nachtwache;23:00:00;08:59:00;1;0;0;
2026-07-06;TVW;dienst;Nachtwache;Nachtwache;23:00:00;08:59:00;1;0;0;
2026-07-06;SCJ;dienst;Nachtwache;Nachtwache;23:00:00;08:59:00;1;0;0;
2026-07-07;SCJ;dienst;Abbau;Abbau (Zelt Innenbereich & Aussenbereich);09:00:00;13:00:00;1;0;0;
2026-07-07;GVE;dienst;Abbau;Abbau (Zelt Innenbereich & Aussenbereich);09:00:00;13:00:00;1;0;0;
2026-07-07;FFW;dienst;Abbau;Abbau (Zelt Innenbereich & Aussenbereich);09:00:00;13:00:00;1;0;0;
2026-07-07;TVW;dienst;Abbau;Abbau (Zelt Innenbereich & Aussenbereich);09:00:00;13:00:00;1;0;0;
2026-07-07;SCJ;dienst;Abbau;Abbau (Zelt Innenbereich & Aussenbereich);09:00:00;13:00:00;1;0;0;
2026-07-07;GVE;dienst;Abbau;Abbau (Zelt Innenbereich & Aussenbereich);09:00:00;13:00:00;1;0;0;
2026-07-07;FFW;dienst;Abbau;Abbau (Zelt Innenbereich & Aussenbereich);09:00:00;13:00:00;1;0;0;
2026-07-07;TVW;dienst;Abbau;Abbau (Zelt Innenbereich & Aussenbereich);09:00:00;13:00:00;1;0;0;
2026-07-07;SCJ;dienst;Abbau;Abbau (Zelt Innenbereich & Aussenbereich);09:00:00;13:00:00;1;0;0;
2026-07-07;GVE;dienst;Abbau;Abbau (Zelt Innenbereich & Aussenbereich);09:00:00;13:00:00;1;0;0;
2026-07-07;FFW;dienst;Abbau;Abbau (Zelt Innenbereich & Aussenbereich);09:00:00;13:00:00;1;0;0;
2026-07-07;TVW;dienst;Abbau;Abbau (Zelt Innenbereich & Aussenbereich);09:00:00;13:00:00;1;0;0;
2026-07-09;SCJ;dienst;Abbau;Abbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-09;GVE;dienst;Abbau;Abbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-09;FFW;dienst;Abbau;Abbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-09;TVW;dienst;Abbau;Abbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-09;SCJ;dienst;Abbau;Abbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
